composite_error,center_error,pva_magnitude,circular_std,cwce,angular_Zscore,nmse,error_message,sigma_exc,sigma_inh,g_exc,g_inh
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.15,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.75 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.75 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.15,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,1. mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,1. mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,1. mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,1. mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.2,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.5 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.625 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.75 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.75 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.75 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.75 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.875 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.875 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.875 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,1. mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.875 mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.875 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,1. mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,1. mV,-300. uV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,1. mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,1. mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.5 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.25,0.625 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.5 mV,-0.825 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.625 mV,-1. mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.625 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.5 mV,-0.65 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.5 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.625 mV,-0.475 mV
,0.0,0.0,6.069708517540586,0.0,0.0,,,0.05,0.3,0.5 mV,-300. uV
